Date,Open,High,Low,Close,Forecast
1996-11-17,111.04,111.9,110.65,111.44,0
1996-11-24,111.42,113.95,111.33,113.86,0
1996-12-01,113.78,114.8,111.73,112.91,0
1996-12-08,112.98,114.03,112.3,113.93,0
1996-12-15,113.95,114.43,113.25,114.28,1
1996-12-22,114.2,116.25,113.84,115.3,1
1996-12-29,115.38,116.75,115.28,116.33,1
1997-01-05,116.75,117.03,114.8,116.1,0
1997-01-12,116.05,117.5,115.85,117.32,1
1997-01-19,117.35,120.18,117.2,118.93,1
1997-01-26,119.12,122.81,118.88,121.43,1
1997-02-02,121.15,124.77,121.04,122.95,1
1997-02-09,121.17,124.87,121.0,124.35,0
1997-02-16,124.42,124.76,122.28,123.3,0
1997-02-23,123.15,123.41,119.85,120.12,0
1997-03-02,120.41,122.31,119.88,121.93,0
1997-03-09,121.85,124.16,121.15,123.45,1
1997-03-16,123.28,123.97,122.05,122.78,0
1997-03-23,122.75,124.5,122.15,124.1,0
1997-03-30,124.05,124.32,121.35,124.29,1
1997-04-06,124.31,127.24,124.22,126.15,1
1997-04-13,126.11,126.65,125.0,125.85,0
1997-04-20,125.7,126.51,125.1,126.28,0
1997-04-27,126.15,127.51,126.02,126.7,1
1997-05-04,126.54,126.87,119.0,120.05,0
1997-05-11,119.74,119.79,114.65,115.8,-1
1997-05-18,115.45,116.45,111.88,115.55,0
1997-05-25,116.1,117.05,115.09,116.2,0
1997-06-01,116.09,116.9,114.2,114.25,-1
1997-06-08,114.15,115.72,110.52,114.87,0
1997-06-15,114.65,115.05,112.75,114.95,0
1997-06-22,115.22,115.72,113.0,114.6,0
1997-06-29,114.5,115.34,112.95,114.25,0
